School,Year,Paper Number,Question Number,Topic,Subtopic,"Difficulty 
1 - Normal
2 - Slightly Challenging
3 - Challenging",Difficulty
ACS (Barker),2024,1,1,Equation and Inequality,,,
ACS (Barker),2024,1,2,Exponential and Log,,1,Normal
ACS (Barker),2024,1,3,Exponential and Log,,1,Normal
ACS (Barker),2024,1,4,Proof of Plane Geometry,,,
ACS (Barker),2024,1,5,Coordinate Geometry,,1,Normal
ACS (Barker),2024,1,6,Integration,Integrate with Partial Fraction,1,Normal
ACS (Barker),2024,1,7,Binomial Expansion,,1,Normal
ACS (Barker),2024,1,8,,,,
ACS (Barker),2024,1,9,Integration,Differentiate then Integrate,1,Normal
ACS (Barker),2024,1,10,Trigonometry,Proving Trigo Functions,1,Normal
ACS (Barker),2024,1,11,Differentiation,Increasing / Decreasing Functions,2,Challenging
ACS (Barker),2024,1,12,Trigonometry,Drawing Trigo Graphs,2,Challenging
ACS (Barker),2024,2,1,Differentiation,Rate of Change,1,Normal
ACS (Barker),2024,2,2,Exponential and Log,,1,Normal
ACS (Barker),2024,2,3,Equation and Inequality,,1,Normal
ACS (Barker),2024,2,4,Coordinate Geometry (Circle),,1,Normal
ACS (Barker),2024,2,5,Trigonometry,"Special Angles, Proving Trigo Functions",2,Challenging
ACS (Barker),2024,2,6,Polynomials,,2,Challenging
ACS (Barker),2024,2,7,Linear Law,,1,Normal
ACS (Barker),2024,2,8,Differentiation,Stationary Points,1,Normal
ACS (Barker),2024,2,9,Kinematics,,,
ACS (Barker),2024,2,10,Trigonometry,R-Formula,,
ACS (Barker),2024,2,11,Integration - Area under curve,Tangent / Normal,,
Canberra,2024,1,1,Partial Fractions,,1,Normal
Canberra,2024,1,2,Trigonometry,Drawing Trigo Graphs,1,Normal
Canberra,2024,1,3,Binomial Expansion,,1,Normal
Canberra,2024,1,4,,,,
Canberra,2024,1,5,Linear Law,,2,Challenging
Canberra,2024,1,6,Equation and Inequality,,1,Normal
Canberra,2024,1,7,Equation and Inequality,,1,Normal
Canberra,2024,1,8,Integration,"Area under curve, Stationary Points, Tangent / Normal",,
Canberra,2024,1,9,Proof of Plane Geometry,,,
Canberra,2024,1,10,Differentiation,Increasing / Decreasing Functions,1,Normal
Canberra,2024,1,11,Integration,"Integrating exponential equations, Tangent / Normal",1,Normal
Canberra,2024,1,12,Kinematics,,,
Canberra,2024,2,1,Integration,Differentiate then Integrate,1,Normal
Canberra,2024,2,2,Trigonometry,Special Angles,1,Normal
Canberra,2024,2,3,Trigonometry,"Proving Trigo Functions, Solving Trigo Functions",1,Normal
Canberra,2024,2,4,Exponential and Log,,1,Normal
Canberra,2024,2,5,Exponential and Log,,1,Normal
Canberra,2024,2,6,Polynomials,,2,Challenging
Canberra,2024,2,7,Trigonometry,R-Formula,1,Normal
Canberra,2024,2,8,Differentiation,Stationary Points,1,Normal
Canberra,2024,2,9,Coordinate Geometry (Circle),,2,Challenging
Canberra,2024,2,10,Integration - Area under curve,,,
Cedar Girls,2024,1,1,Surds,,1,Normal
Cedar Girls,2024,1,2,Equation and Inequality,,1,Normal
Cedar Girls,2024,1,3,Exponential and Log,,1,Normal
Cedar Girls,2024,1,4,Exponential and Log,,1,Normal
Cedar Girls,2024,1,5,Differentiation,Increasing / Decreasing Functions,2,Challenging
Cedar Girls,2024,1,6,Trigonometry,Drawing Trigo Graphs,2,Challenging
Cedar Girls,2024,1,7,Differentiation,Stationary Points,2,Challenging
Cedar Girls,2024,1,8,Differentiation,Stationary Points,1,Normal
Cedar Girls,2024,1,9,Differentiation,Rate of Change,2,Challenging
Cedar Girls,2024,1,10,Trigonometry,R-Formula,1,Normal
Cedar Girls,2024,1,11,Linear Law,,,
Cedar Girls,2024,1,12,Integration,Differentiate then Integrate,,
Cedar Girls,2024,1,13,Proof of Plane Geometry,,,
Cedar Girls,2024,2,1,Equation and Inequality,,2,Challenging
Cedar Girls,2024,2,2,Integration,Integrate with Partial Fraction,1,Normal
Cedar Girls,2024,2,3,Trigonometry,"Proving Trigo Functions, Special Angles",1,Normal
Cedar Girls,2024,2,4,Binomial Expansion,,2,Challenging
Cedar Girls,2024,2,5,Coordinate Geometry,,1,Normal
Cedar Girls,2024,2,6,Differentiation,Stationary Points,1,Normal
Cedar Girls,2024,2,"7a, b",Polynomials,,1,Normal
Cedar Girls,2024,2,"7c, d",Integration - Area under curve,,,
Cedar Girls,2024,2,8,Coordinate Geometry (Circle),,1,Normal
Cedar Girls,2024,2,9,Kinematics,,,
Fairfield Methodist,2024,1,1,Equation and Inequality,,1,Normal
Fairfield Methodist,2024,1,2,Surds,,1,Normal
Fairfield Methodist,2024,1,3,Proof of Plane Geometry,,,
Fairfield Methodist,2024,1,4,Trigonometry,Drawing Trigo Graphs,2,Challenging
Fairfield Methodist,2024,1,5,Differentiation,Stationary Points,1,Normal
Fairfield Methodist,2024,1,6,Integration,Integrate with Partial Fraction,1,Normal
Fairfield Methodist,2024,1,7,Polynomials,,1,Normal
Fairfield Methodist,2024,1,8,Exponential and Log,,1,Normal
Fairfield Methodist,2024,1,9a,Differentiation,Rate of Change,2,Challenging
Fairfield Methodist,2024,1,9b,Exponential and Log,,1,Normal
Fairfield Methodist,2024,1,10,Trigonometry,Proving Trigo Functions,1,Normal
Fairfield Methodist,2024,1,11,Integration - Area under curve,,,
Fairfield Methodist,2024,1,12,Coordinate Geometry,,2,Challenging
Fairfield Methodist,2024,2,1,Exponential and Log,,1,Normal
Fairfield Methodist,2024,2,2,Differentiation,Tangent / Normal,1,Normal
Fairfield Methodist,2024,2,3,Integration,Differentiate then Integrate,1,Normal
Fairfield Methodist,2024,2,4,Equation and Inequality,,1,Normal
Fairfield Methodist,2024,2,5,Trigonometry,Solving Trigo Functions,2,Challenging
Fairfield Methodist,2024,2,6,Differentiation,Stationary Points,,
Fairfield Methodist,2024,2,7,Binomial Expansion,,1,Normal
Fairfield Methodist,2024,2,8,Linear Law,,,
Fairfield Methodist,2024,2,9,Trigonometry,R-Formula,1,Normal
Fairfield Methodist,2024,2,10,Kinematics,,,
Fairfield Methodist,2024,2,11,Coordinate Geometry (Circle),,2,Challenging
Gan Eng Seng,2024,1,1,Equation and Inequality,,1,Normal
Gan Eng Seng,2024,1,2,Surds,,1,Normal
Gan Eng Seng,2024,1,3,Polynomials,,1,Normal
Gan Eng Seng,2024,1,4,Differentiation,Stationary Points,1,Normal
Gan Eng Seng,2024,1,5,Binomial Expansion,,1,Normal
Gan Eng Seng,2024,1,6,Integration,Tangent / Normal,1,Normal
Gan Eng Seng,2024,1,7,Differentiation,Tangent / Normal,2,Challenging
Gan Eng Seng,2024,1,8,Proof of Plane Geometry,,,
Gan Eng Seng,2024,1,9,Coordinate Geometry,,1,Normal
Gan Eng Seng,2024,1,10,Trigonometry,Drawing Trigo Graphs,1,Normal
Gan Eng Seng,2024,1,11,Surds,,2,Challenging
Gan Eng Seng,2024,1,12,Kinematics,,,
Gan Eng Seng,2024,1,13,Exponential and Log,,1,Normal
Gan Eng Seng,2024,1,14,Linear Law,,,
Gan Eng Seng,2024,2,1,Polynomials,,1,Normal
Gan Eng Seng,2024,2,2,Exponential and Log,Drawing Log / Exponential Graphs,1,Normal
Gan Eng Seng,2024,2,3,Coordinate Geometry (Circle),,2,Challenging
Gan Eng Seng,2024,2,4,Trigonometry,Solving Trigo Functions,,
Gan Eng Seng,2024,2,5,Exponential and Log,,1,Normal
Gan Eng Seng,2024,2,6,Trigonometry,R-Formula,1,Normal
Gan Eng Seng,2024,2,7,Trigonometry,Proving Trigo Functions,2,Challenging
